,make_model,price,gearing_type,km,kw,age
197,Audi A1,17900.0,Automatic,63136.0,70.0,0.0
198,Audi A1,17900.0,Automatic,21900.0,85.0,0.0
199,Audi A1,17900.0,Automatic,23357.0,70.0,0.0
200,Audi A1,17900.0,Automatic,40000.0,110.0,1.0
201,Audi A1,17900.0,Automatic,63136.0,70.0,0.0
202,Audi A1,17890.0,Automatic,27950.0,92.0,0.0
203,Audi A1,16900.0,Automatic,3150.0,70.0,0.0
204,Audi A1,17900.0,Automatic,4810.0,70.0,0.0
205,Audi A1,16900.0,Automatic,32700.0,66.0,0.0
206,Audi A1,16900.0,Automatic,67790.0,66.0,0.0
207,Audi A1,17890.0,Automatic,63500.0,85.0,1.0
208,Audi A1,17900.0,Automatic,37702.0,93.0,0.0
209,Audi A1,17900.0,Automatic,40164.0,66.0,0.0
210,Audi A1,16900.0,Automatic,47750.0,71.0,0.0
211,Audi A1,16890.0,Automatic,39600.0,92.0,1.0
212,Audi A1,16890.0,Automatic,29200.0,70.0,0.0
213,Audi A1,16880.0,Automatic,32103.0,70.0,0.0
214,Audi A1,16880.0,Automatic,19700.0,70.0,1.0
215,Audi A1,16880.0,Automatic,6680.0,70.0,0.0
216,Audi A1,16880.0,Automatic,49100.0,92.0,0.0
217,Audi A1,16879.0,Automatic,30348.0,92.0,0.0
218,Audi A1,16870.0,Automatic,7680.0,66.0,1.0
219,Audi A1,16850.0,Automatic,36400.0,66.0,0.0
220,Audi A1,16840.0,Automatic,49800.0,92.0,0.0
221,Audi A1,16830.0,Automatic,50200.0,92.0,1.0
222,Audi A1,16876.0,Automatic,47500.0,92.0,0.0
223,Audi A1,16820.0,Automatic,24762.0,70.0,0.0
224,Audi A1,16800.0,Automatic,36236.0,70.0,0.0
225,Audi A1,16790.0,Automatic,38831.0,92.0,1.0
226,Audi A1,16780.0,Automatic,18556.0,66.0,0.0
227,Audi A1,16530.0,Automatic,36625.0,85.0,0.0
228,Audi A1,16500.0,Automatic,25000.0,92.0,0.0
229,Audi A1,16500.0,Automatic,36041.0,85.0,0.0
230,Audi A1,16500.0,Automatic,36500.0,85.0,1.0
231,Audi A1,16500.0,Automatic,25000.0,92.0,0.0
232,Audi A1,16500.0,Automatic,66000.0,85.0,0.0
233,Audi A1,16490.0,Automatic,90000.0,67.0,0.0
234,Audi A1,16490.0,Automatic,14000.0,70.0,0.0
235,Audi A1,16490.0,Automatic,16081.0,70.0,0.0
236,Audi A1,16480.0,Automatic,32863.0,92.0,0.0
237,Audi A1,16480.0,Automatic,54889.0,70.0,0.0
238,Audi A1,16450.0,Automatic,18392.0,70.0,0.0
239,Audi A1,16480.0,Automatic,40800.0,92.0,0.0
240,Audi A1,16480.0,Automatic,60490.0,66.0,1.0
241,Audi A1,16444.0,Automatic,33142.0,70.0,0.0
242,Audi A1,16430.0,Automatic,40500.0,92.0,0.0
243,Audi A1,16443.0,Automatic,13819.0,92.0,1.0
244,Audi A1,17300.0,Automatic,18800.0,66.0,0.0
245,Audi A1,17240.0,Automatic,40550.0,92.0,0.0
246,Audi A1,17150.0,Automatic,25000.0,70.0,1.0
247,Audi A1,17000.0,Automatic,46000.0,85.0,0.0
248,Audi A1,16999.0,Automatic,31987.0,85.0,1.0
249,Audi A1,16999.0,Automatic,52800.0,110.0,0.0
